ID,Area,Feature,User Story,Expected Behavior (from code),Route/Component,Status,Test Result,Errors Found,Fix Applied,Re-test Result,Round 2 Re-test (2026-08-10)
US-001,Home Page,Landing page render,"As a visitor, when I navigate to /, I see the GO.cam age verification demo home page",GET / returns HTML 200 with hero header, color config form, redirect button, iframe button, and implementation guide accordion. Security headers present. robots noindex.,GET /,Pass,HTTP 200 + all content present + 5 security headers,No,No issues,,"Pass — HTTP 200, content present, security headers on page + assets, HEAD now 200 (BUG-06 fixed)"
US-002,Home Page,Color theme config,"As a visitor, I can change body/button color values via color pickers",5 color inputs (body bg/fg, button bg/fg/cta) rendered with defaults. Changing color re-enables Start button.,Home form (AvsHome.Action),Pass,All 5 color inputs present,No,No issues,,Pass — all 5 color inputs present
US-003,Home Page,Callback URL config,"As a visitor, I can set a verification result callback URL",Callback URL input present with default value. Sent with payload request.,Home form,Pass,Input present with default value,No,No issues,,Pass — callback URL input present
US-004,Home Page,Start redirect verification,"As a visitor, when I click 'Start age verification' (redirect), a new tab opens with /token?d=<payload>",POST /getVerificationPayloadAndUrl with config. On success window.open(data.url).,POST /getVerificationPayloadAndUrl,Pass,Returns success + url + iframeUrl + payload. Browser opens new tab.,No,No issues,,Pass — returns success=1 + url + iframeUrl + payload
US-005,Home Page,Start iframe verification,"As a visitor, when I click 'Start age verification' (iframe), an overlay iframe opens",AvsFactoryIframeSdk creates iframe to iframeUrl. Events logged.,iframe SDK,Skipped,Requires browser+camera interaction,-,-,,Skipped (webcam)
US-006,Home Page,Iframe event logging,"As a visitor using iframe mode, events are appended to the log textarea",Events appended to #ageVerificationLogTextarea.,AvsFactoryIframeSdk,Skipped,Requires browser+camera interaction,-,-,,Skipped (webcam)
US-007,Token Page,Token page render (redirect),"As a user, when I open /token?d=<payload>, I see the verification start page",GET /token?d=<valid> returns HTML 200 with start page. Sets avs-session cookie.,GET /token,Pass,HTML 200 + start page + cookie set + session ID in app-data,No,No issues,,Pass — HTTP 200 + avs-session cookie set + session in app-data
US-008,Token Page,Token page without payload,"As a user, when I open /token with no ?d param, I see an error page",GET /token (no d) renders error 30005 'Invalid payload'.,GET /token,Pass,Error 30005 displayed,No,No issues,,Pass — error 30005 displayed
US-009,Token Page,Token page with expired payload,"As a user, when I open /token?d=<expired payload>, I see an error page",Payload older than 10 min: DO returns LINK_EXPIRED → error 30006.,GET /token,Pass (unit tested),Verified in DO integration tests,No,No issues,,Pass — LINK_EXPIRED code path verified in DO
US-010,Token Page,Token page with already-used payload,"As a user, when I re-open a used link, I see an error page",DO returns LINK_ALREADY_USED → error 30006.,GET /token,Pass,Second request with same payload shows 30006,No,No issues,,Pass — reuse → 30006
US-011,Token Page,Iframe render endpoint,"As an iframe, when loaded at /token/iframeRender?d=<payload>, I see the verification page",GET /token/iframeRender?d=<valid> returns full verification page.,GET /token/iframeRender,Pass,HTML 200 with verification page,No,No issues,,Pass — HTTP 200 with verification page
